partidaInmobiliaria,descripcion,costoInicial
MZA35-10,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-11,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-12,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-13,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-14,superficie: 675.00mt2- 15 x 45mts,8000000
MZA35-15,superficie: 675.00mt2- 15 x 45mts,10000000
MZA35-16,superficie: 787.50mt2- 15 x 45mts,9000000
MZA39-1,superficie: 789.32mt2- 46.24 x 34.14 x 57.31mts,140000000
MZA39-2,superficie: 789.33mt2- 23.74 x 48.29 x 19.15 x 34.14mts,14000000
MZA39-3,superficie: 724.33mt2- 16.10 x 45mts,8000000
MZA39-4,superficie: 724.33.00mt2- 16.10 x 45mts,8000000
MZA39-5,superficie: 724.33mt2- 16.10 x 45mts,8000000
MZA39-6,superficie: 747.55mt2- 45 x 33.22 x 55.78mts,13200000
MZA40-1,superficie: 747.88mt2- 16.64 x 45mts,11000000
MZA40-2,superficie: 747.88mt2- 16.64 x 45mts,9000000
MZA40-3,superficie: 747.88mt2- 16.64 x 45mts,9000000
MZA40-4,superficie: 747.88mt2- 16.64 x 45mts,9000000
MZA40-5,superficie: 747.88mt2- 16.64 x 45mts,9000000
MZA40-6,superficie: 747.88mt2- 16.64 x 45mts,9000000
MZA40-7,superficie: 747.88mt2- 16.64 x 45mts,11000000
MZA40-8,superficie: 871.17mt2- 15.58 x 58.06mts,10000000
MZA40-9,superficie: 745.56mt2- 16.55x 45mts,11000000
MZA40-10,superficie:745.59mt2- 16.55 x 45mts,9000000
MZA40-11,superficie:745.59mt2- 16.55 x 45mts,9000000
MZA40-12,superficie:745.59mt2- 16.55 x 45mts,9000000
MZA40-13,superficie:745.58mt2- 16.55 x 45mts,9000000
MZA40-14,superficie:745.58mt2- 16.55 x 45mts,9000000
MZA40-15,superficie:745.58mt2- 16.55 x 45mts,11000000
MZA40-16,superficie: 871.17mt2- 15.58 x 58.06mts,10000000
MZA41-1,superficie: 752.51mt2- 16.74 x 45mts,11000000
MZA41-2,superficie: 752.51mt2- 16.74 x 45mts,9000000
MZA41-3,superficie: 752.51mt2- 16.74 x 45mts,9000000
MZA41-4,superficie: 752.51mt2- 16.74 x 45mts,9000000
MZA41-5,superficie: 752.51mt2- 16.74 x 45mts,9000000
MZA41-6,superficie: 752.51mt2- 16.74 x 45mts,9000000
MZA41-7,superficie: 752.51mt2- 16.74 x 45mts,11000000
MZA41-8,superficie: 876.56mt2- 15 x 58.46mts,10000000
MZA41-9,superficie: 750.20mt2- 16.69 x 45mts,11000000
